"","X","Tag","ID_Number","Grid.x","Habitat","Grid.Session.x","date.x","BaitSession","BaitGrid.x","Site.ID.x","Trap.x","Species","Recapture.x","Sex","Age","FINAL_RbPresent_First","Pr.IPA..ng.mL.","Et.IPA..ng.mL.","Rb.presence.last","Column2","Biomarker","Year","Bait","Season","Grid","Density","Area","Opossum","Raccoon","BaitGrid.y","Residency"
"420",420,170,"170_42816","B3","Bottomland","B3-2","3/22/2017","Spring 2017","B3_Spring 2017","B3-2",6.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B3","75","0.5",-0.123348297672518,0.253585545529095,"B3_Spring ",1
"421",421,171,"171_42816","B2","Bottomland","B2-2","3/22/2017","Spring 2017","B2_Spring 2017","B2-2",5.2,"Raccoon","Initial","M","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",2
"423",423,173,"173_42816","W2","Wetland","W2-2","3/22/2017","Spring 2017","W2_Spring 2017","W2-2",2.2,"Raccoon","Initial","M","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",2
"425",425,175,"175_42817","R3","Riparian","R3-2","3/23/2017","Spring 2017","R3_Spring 2017","R3-2",5.4,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R3","75","0.5",0.114837146635641,-0.26891236366577,"R3_Spring ",1
"426",426,176,"176_42818","B2","Bottomland","B2-2","3/24/2017","Spring 2017","B2_Spring 2017","B2-2",6.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",1
"427",427,177,"177_42818","P4","Pine","P4-2","3/24/2017","Spring 2017","P4_Spring 2017","P4-2",1.4,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P4","75","0.5",-0.816217851551863,-0.947937386985461,"P4_Spring ",1
"428",428,178,"178_42819","R1","Riparian","R1-2","3/25/2017","Spring 2017","R1_Spring 2017","R1-2",2.5,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","R1","75","0.5",0.0855806080558497,-0.647584111265793,"R1_Spring ",1
"429",429,179,"179_42819","R1","Riparian","R1-2","3/25/2017","Spring 2017","R1_Spring 2017","R1-2",3.2,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","R1","75","0.5",0.0855806080558497,-0.647584111265793,"R1_Spring ",2
"430",430,180,"180_42821","P4","Pine","P4-2","3/27/2017","Spring 2017","P4_Spring 2017","P4-2",1.5,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P4","75","0.5",-0.816217851551863,-0.947937386985461,"P4_Spring ",2
"433",433,183,"183_42828","W4","Wetland","W4-2","4/3/2017","Spring 2017","W4_Spring 2017","W4-2",1.1,"Raccoon","Initial","M","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W4","75","0.5",-0.912078974046173,-1.13792801714022,"W4_Spring ",1
"434",434,184,"184_42829","B1","Bottomland","B1-2","4/4/2017","Spring 2017","B1_Spring 2017","B1-2",1.1,"Raccoon","Initial","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B1","75","0.5",-0.467244995759304,-0.34686986215249,"B1_Spring ",1
"435",435,185,"185_42830","W3","Wetland","W3-2","4/5/2017","Spring 2017","W3_Spring 2017","W3-2",1.3,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W3","75","0.5",-0.882766170070536,-0.999514703823067,"W3_Spring ",2
"436",436,186,"186_42831","B1","Bottomland","B1-2","4/6/2017","Spring 2017","B1_Spring 2017","B1-2",7.1,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B1","75","0.5",-0.467244995759304,-0.34686986215249,"B1_Spring ",4
"438",438,188,"188_42833","W6","Wetland","W6-2","4/8/2017","Spring 2017","W6_Spring 2017","W6-2",1.1,"Raccoon","Initial","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",1
"440",440,209,"209_42799","P1","Pine","P1-2","3/5/2017","Spring 2017","P1_Spring 2017","P1-2",4.3,"Raccoon","Recapture","F","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",3
"441",441,232,"232_42820","W2","Wetland","W2-2","3/26/2017","Spring 2017","W2_Spring 2017","W2-2",1.2,"Raccoon","Recapture","M","",0,"","",NA,"0",0,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",3
"442",442,233,"233_42820","B2","Bottomland","B2-2","3/26/2017","Spring 2017","B2_Spring 2017","B2-2",5.4,"Raccoon","Recapture","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",4
"443",443,234,"234_42820","W2","Wetland","W2-2","3/26/2017","Spring 2017","W2_Spring 2017","W2-2",1.1,"Raccoon","Recapture","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W2","75","0.5",-0.830107899925121,-0.358940736703237,"W2_Spring ",3
"445",445,238,"238_42814","B2","Bottomland","B2-2","3/20/2017","Spring 2017","B2_Spring 2017","B2-2",5.2,"Raccoon","Recapture","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","B2","75","0.5",1.15587645563119,0.927948619368414,"B2_Spring ",5
"446",446,246,"246_42826","B1","Bottomland","B1-2","4/1/2017","Spring 2017","B1_Spring 2017","B1-2",6.1,"Raccoon","Recapture","M","Juvenile",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B1","75","0.5",-0.467244995759304,-0.34686986215249,"B1_Spring ",10
"447",447,248,"248_42831","W5","Wetland","W5-2","4/6/2017","Spring 2017","W5_Spring 2017","W5-2",1.5,"Raccoon","Recapture","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W5","75","0.5",-0.412348253919155,-0.907814010153179,"W5_Spring ",2
"448",448,252,"252_42827","W6","Wetland","W6-2","4/2/2017","Spring 2017","W6_Spring 2017","W6-2",5.3,"Raccoon","Recapture","M","Adult",1,"","",NA,"1",1,2017,"Rhodamine","Spring","W6","75","0.5",-0.45778183190283,-0.443434390896726,"W6_Spring ",4
"453",453,259,"259_42800","B5","Bottomland","B5-2","3/6/2017","Spring 2017","B5_Spring 2017","B5-2",2.5,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B5","75","0.5",0.259340105708829,-0.467007543430512,"B5_Spring ",6
"454",454,260,"260_42800","P1","Pine","P1-2","3/6/2017","Spring 2017","P1_Spring 2017","P1-2",4.2,"Raccoon","Initial","F","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","P1","75","0.5",-0.736793675994594,-0.748422461350749,"P1_Spring ",1
"456",456,262,"262_42802","B5","Bottomland","B5-2","3/8/2017","Spring 2017","B5_Spring 2017","B5-2",3.2,"Raccoon","Initial","M","Adult",0,"","",NA,"0",0,2017,"Rhodamine","Spring","B5","75","0.5",0.259340105708829,-0.467007543430512,"B5_Spring ",1
"457",457,263,"263_42803","P2","Pine","P2-2","3/9/2017","Spring 2017","P2_Spring 2017","P2-2",5.2,"Raccoon","Initial","M","Juvenile",1,"","",NA,"1",1,2017,"Rhodamine","Spring","P2","75","0.5",-0.997424220418293,-0.38304814185324,"P2_Spring ",1
